0;Miasto;Powiat;Województwo;Populacja;Obszar
1;Warszawa;Warszawa;mazowieckie;1 724 404;517 km?
2;Kraków;Kraków;ma³opolskie;758 992;327 km?
3;£ódŸ;£ódŸ;³ódzkie;711 332;293 km?
4;Wroc³aw;Wroc³aw;dolnoœl¹skie;632 067;293 km?
5;Poznañ;Poznañ;wielkopolskie;548 028;262 km?
6;Gdañsk;Gdañsk;pomorskie;461 531;262 km?
7;Szczecin;Szczecin;zachodniopomorskie;408 172;301 km?
8;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie;359 428;176 km?
9;Lublin;Lublin;lubelskie;343 598;147 km?
10;Katowice;Katowice;œl¹skie;304 362;165 km?
11;Bia³ystok;Bia³ystok;podlaskie;295 282;102 km?
12;Gdynia;Gdynia;pomorskie;248 042;135 km?
13;Czêstochowa;Czêstochowa;œl¹skie;232 318;160 km?
14;Radom;Radom;mazowieckie;218 466;112 km?
15;Sosnowiec;Sosnowiec;œl¹skie;211 275;91 km?
16;Toruñ;Toruñ;kujawsko-pomorskie;203 447;116 km?
17;Kielce;Kielce;œwiêtokrzyskie;199 870;110 km?
18;Gliwice;Gliwice;œl¹skie;185 450;134 km?
19;Rzeszów;Rzeszów;podkarpackie;183 108;117 km?
20;Zabrze;Zabrze;œl¹skie;178 357;80 km?
21;Olsztyn;Olsztyn;warmiñsko-mazurskie;174 675;88 km?
22;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie;173 699;125 km?
23;Bytom;Bytom;œl¹skie;173 439;69 km?
24;Ruda Œl¹ska;Ruda Œl¹ska;œl¹skie;141 521;78 km?
25;Rybnik;Rybnik;œl¹skie;140 173;148 km?
26;Tychy;Tychy;œl¹skie;128 799;82 km?
27;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie;124 344;86 km?
28;D¹browa Górnicza;D¹browa Górnicza;œl¹skie;123 994;189 km?
29;Elbl¹g;Elbl¹g;warmiñsko-mazurskie;122 899;80 km?
30;P³ock;P³ock;mazowieckie;122 815;88 km?
31;Opole;Opole;opolskie;120 146;97 km?
32;Zielona Góra;Zielona Góra;lubuskie;118 405;58 km?
33;Wa³brzych;Wa³brzych;dolnoœl¹skie;117 926;85 km?
34;W³oc³awek;W³oc³awek;kujawsko-pomorskie;114 885;84 km?
35;Tarnów;Tarnów;ma³opolskie;112 120;72 km?
36;Chorzów;Chorzów;œl¹skie;110 761;33 km?
37;Koszalin;Koszalin;zachodniopomorskie;109 170;98 km?
38;Kalisz;Kalisz;wielkopolskie;103 997;69 km?
39;Legnica;Legnica;dolnoœl¹skie;101 992;56 km?
40;Grudzi¹dz;Grudzi¹dz;kujawsko-pomorskie;97 676;58 km?
41;S³upsk;S³upsk;pomorskie;93 936;43 km?
42;Jaworzno;Jaworzno;œl¹skie;93 708;153 km?
43;Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;œl¹skie;91 235;85 km?
44;Nowy S¹cz;Nowy S¹cz;ma³opolskie;83 943;58 km?
45;Jelenia Góra;Jelenia Góra;dolnoœl¹skie;81 985;109 km?
46;Konin;Konin;wielkopolskie;77 224;82 km?
47;Siedlce;Siedlce;mazowieckie;76 347;32 km?
48;Piotrków Trybunalski;Piotrków Trybunalski;³ódzkie;75 903;67 km?
49;Mys³owice;Mys³owice;œl¹skie;75 129;66 km?
50;Inowroc³aw;inowroc³awski;kujawsko-pomorskie;75 001;30 km?
51;Pi³a;pilski;wielkopolskie;74 609;103 km?
52;Lubin;lubiñski;dolnoœl¹skie;74 053;41 km?
53;Ostrów Wielkopolski;ostrowski;wielkopolskie;72 890;42 km?
54;Ostrowiec Œwiêtokrzyski;ostrowiecki;œwiêtokrzyskie;72 277;46 km?
55;Gniezno;gnieŸnieñski;wielkopolskie;69 883;41 km?
56;Stargard Szczeciñski;stargardzki;zachodniopomorskie;69 328;48 km?
57;Suwa³ki;Suwa³ki;podlaskie;69 317;66 km?
58;G³ogów;g³ogowski;dolnoœl¹skie;68 997;35 km?
59;Siemianowice Œl¹skie;Siemianowice Œl¹skie;œl¹skie;68 844;25 km?
60;Pabianice;pabianicki;³ódzkie;67 688;33 km?
61;Che³m;Che³m;lubelskie;65 481;35 km?
62;Zamoœæ;Zamoœæ;lubelskie;65 255;30 km?
63;Tomaszów Mazowiecki;tomaszowski;³ódzkie;64 893;42 km?
64;Leszno;Leszno;wielkopolskie;64 589;32 km?
65;Stalowa Wola;stalowowolski;podkarpackie;63 692;83 km?
66;Przemyœl;Przemyœl;podkarpackie;63 638;46 km?
67;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie;63 194;124 km?
68;£om¿a;£om¿a;podlaskie;62 711;33 km?
69;¯ory;¯ory;œl¹skie;62 038;65 km?
70;Mielec;mielecki;podkarpackie;61 096;47 km?
71;Tarnowskie Góry;tarnogórski;œl¹skie;60 957;84 km?
72;Tczew;tczewski;pomorskie;60 610;22 km?
73;E³k;e³cki;warmiñsko-mazurskie;59 790;21 km?
74;Pruszków;pruszkowski;mazowieckie;59 570;19 km?
75;Be³chatów;be³chatowski;³ódzkie;59 565;35 km?
76;Œwidnica;œwidnicki;dolnoœl¹skie;59 182;22 km?
77;Bêdzin;bêdziñski;œl¹skie;58 425;37 km?
78;Bia³a Podlaska;Bia³a Podlaska;lubelskie;57 658;49 km?
79;Zgierz;zgierski;³ódzkie;57 503;42 km?
80;Piekary Œl¹skie;Piekary Œl¹skie;œl¹skie;57 148;40 km?
81;Racibórz;raciborski;œl¹skie;55 930;75 km?
82;Legionowo;legionowski;mazowieckie;54 231;14 km?
83;Ostro³êka;Ostro³êka;mazowieckie;52 917;29 km?
84;Œwiêtoch³owice;Œwiêtoch³owice;œl¹skie;51 824;13 km?
85;Zawiercie;zawierciañski;œl¹skie;51 258;85 km?
86;Starachowice;starachowicki;œwiêtokrzyskie;51 158;32 km?
87;Wejherowo;wejherowski;pomorskie;50 340;27 km?
88;Pu³awy;pu³awski;lubelskie;49 100;50 km?
89;Wodzis³aw Œl¹ski;wodzis³awski;œl¹skie;48 731;50 km?
