Miejscowoœæ;Powiat;Województwo
Abisynia;koœcierski;pomorskie
Abramowice Koœcielne;lubelski;lubelskie
Abramowice Prywatne;lubelski;lubelskie
Abramów;lubartowski;lubelskie
Abramy;miñski;mazowieckie
Achrymowce;sokólski;podlaskie
Adamczowice;sandomierski;œwiêtokrzyskie
Adamczowice (stara Wieœ);sandomierski;œwiêtokrzyskie
Adamczycha;ostro³êcki;mazowieckie
Adamek;konecki;œwiêtokrzyskie
Adamierz;d¹browski;ma³opolskie
Adamin;kolski;wielkopolskie
Adamin (nowa Wieœ);kolski;wielkopolskie
Adaminowo;w³oc³awski;kujawsko-pomorskie
Adaminowo (³¹czki);w³oc³awski;kujawsko-pomorskie
Adamka;poddêbicki;³ódzkie
Adamki;golubsko-dobrzyñski;kujawsko-pomorskie
Adamkowo;tucholski;kujawsko-pomorskie
Adamowa Góra;sochaczewski;mazowieckie
Adamowice;¿yrardowski;mazowieckie
Adamowizna;suwalski;podlaskie
Adamowo;olsztyñski;warmiñsko-mazurskie
Adamowo (wilczy Ostrów);¿uromiñski;mazowieckie
Adamowo-leœnictwo;sêpoleñski;kujawsko-pomorskie
Adamowo-zastawa;siemiatycki;podlaskie
Adamów;gostyniñski;mazowieckie
Adamów (adamów-kolonia);koniñski;wielkopolskie
Adamów Drwalewski;grójecki;mazowieckie
Adamów Rososki;grójecki;mazowieckie
Adamów-parcel;¿yrardowski;mazowieckie
Adamów-wieœ;¿yrardowski;mazowieckie
Adamówek;¿yrardowski;mazowieckie
Adamówka;krasnostawski;lubelskie
Adampol;w³odawski;lubelskie
Adamusy;kolneñski;podlaskie
Adelin;wyszkowski;mazowieckie
Adelin (grzegorzewo);wyszkowski;mazowieckie
Adelina;opolski;lubelskie
Adelinów;piotrkowski;³ódzkie
Adolfin;radomski;mazowieckie
Adolfinów;piotrkowski;³ódzkie
Adolfowo;grodziski;wielkopolskie
Adolfów;zgierski;³ódzkie
Afryka;opoczyñski;³ódzkie
Agatówka;stalowowolski;podkarpackie
Agnieszkowo;sierpecki;mazowieckie
Agnopol;tomaszowski;³ódzkie
Agrafinówka;suwalski;podlaskie
Aksmanice;przemyski;podkarpackie
Akwizgran;kielecki;œwiêtokrzyskie
Albertowsko;grodziski;wielkopolskie
Albertów;turecki;wielkopolskie
Albertów (cha³ków);k³obucki;œl¹skie
Albigowa;³añcucki;podkarpackie
Albigowa (granica);³añcucki;podkarpackie
Albigowa (honie);³añcucki;podkarpackie
Albigowa (maziarnia);³añcucki;podkarpackie
Albinów;zgierski;³ódzkie
Albinów Du¿y;bi³gorajski;lubelskie
Albinów Ma³y;bi³gorajski;lubelskie
Aleksandria;p³oñski;mazowieckie
Aleksandria (aleksandria Druga);czêstochowski;œl¹skie
Aleksandria (aleksandria Pierwsza);czêstochowski;œl¹skie
Aleksandria Krzywowolska;che³mski;lubelskie
Aleksandria Niedzia³owska;che³mski;lubelskie
Aleksandrowice;krakowski;ma³opolskie
Aleksandrowiec;bydgoski;kujawsko-pomorskie
Aleksandrowo;bydgoski;kujawsko-pomorskie
Aleksandrów;kraœnicki;lubelskie
Aleksandrów (aleksandrów Czwarty);bi³gorajski;lubelskie
Aleksandrów (aleksandrów Drugi);bi³gorajski;lubelskie
Aleksandrów (aleksandrów Pierwszy);bi³gorajski;lubelskie
Aleksandrów (kocewia Ma³a);kolski;wielkopolskie
Aleksandrów (sadki);jêdrzejowski;œwiêtokrzyskie
Aleksandrów (stawiska);kolski;wielkopolskie
Aleksandrów Du¿y;lipski;mazowieckie
Aleksandrów Kujawski;aleksandrowski;kujawsko-pomorskie
Aleksandrów Kujawski (aleksandrówek);aleksandrowski;kujawsko-pomorskie
Aleksandrów Kujawski (halinowo);aleksandrowski;kujawsko-pomorskie
Aleksandrów ³ódzki;zgierski;³ódzkie
Aleksandrówek;³aski;³ódzkie
Aleksandrówka;kolski;wielkopolskie
Aleksandrówka (chrusty);³ukowski;lubelskie
Aleksandrynów;gostyniñski;mazowieckie
Aleksicze;bia³ostocki;podlaskie
Aleksiejówka;sejneñski;podlaskie
Alfonsowo;grójecki;mazowieckie
Alfonsów;p³ocki;mazowieckie
Alfredówka;tarnobrzeski;podkarpackie
Alfredówka (buda Stalowska);tarnobrzeski;podkarpackie
Alinowo;koniñski;wielkopolskie
Alojzów;radomski;mazowieckie
Altana;radziejowski;kujawsko-pomorskie
Altona;sulêciñski;lubuskie
Alwernia;chrzanowski;ma³opolskie
Amandów;raciborski;œl¹skie
Ambro¿ew;³êczycki;³ódzkie
Ambro¿ów;starachowicki;œwiêtokrzyskie
Amelin;radomszczañski;³ódzkie
Ameliówka;kielecki;œwiêtokrzyskie
Ameryczka;nakielski;kujawsko-pomorskie
Ameryka;hrubieszowski;lubelskie
Anastazew;zgierski;³ódzkie
Anastazewo;s³upecki;wielkopolskie
Anastazów;be³chatowski;³ódzkie
Anatolin;gostyniñski;mazowieckie
Ancuty;hajnowski;podlaskie
Andrespol;³ódzki wschodni;³ódzkie
Andruszkowice;sandomierski;œwiêtokrzyskie
Andrychów;wadowicki;ma³opolskie
Andrychy;kolneñski;podlaskie
Andryjanki;bielski;podlaskie
Andrzejewo;suwalski;podlaskie
Andrzejewo (andrzejewo-kolonie);ostrowski;mazowieckie
Andrzejewo (andrzejewo-zarzecze);ostrowski;mazowieckie
Andrzejki;³om¿yñski;podlaskie
Andrzejki-tyszki;ostro³êcki;mazowieckie
Andrzejów;sochaczewski;mazowieckie
Andrzejów-osada;w³odawski;lubelskie
Andrzejówka;bi³gorajski;lubelskie
Andzin;nowodworski;mazowieckie
Anglity;elbl¹ski;warmiñsko-mazurskie
Angowice;chojnicki;pomorskie
Anielew;miñski;mazowieckie
Anielewo;koniñski;wielkopolskie
Anielin;w³oc³awski;kujawsko-pomorskie
Anielin (ceteñ);opoczyñski;³ódzkie
Anielin (fryszerka);opoczyñski;³ódzkie
Anielin Swêdowski;zgierski;³ódzkie
Anielinek;miñski;mazowieckie
Anielino;³obeski;zachodniopomorskie
Anieliny;nakielski;kujawsko-pomorskie
Anielów;pajêczañski;³ódzkie
Anielówka;lubartowski;lubelskie
Anielpol;krasnostawski;lubelskie
Anio³ka Druga;kêpiñski;wielkopolskie
Anio³ka Pierwsza;kêpiñski;wielkopolskie
Anio³ka-parcele;kêpiñski;wielkopolskie
Anio³ki;ostrzeszowski;wielkopolskie
Anio³owo;elbl¹ski;warmiñsko-mazurskie
Ankamaty;sztumski;pomorskie
Annapol;jarociñski;wielkopolskie
Annetów;kutnowski;³ódzkie
Annobór;lubartowski;lubelskie
Annobór-kolonia;lubartowski;lubelskie
Annogóra;szamotulski;wielkopolskie
Annolesie;k³obucki;œl¹skie
Annopol;rawicki;wielkopolskie
Annopol Du¿y;tomaszowski;³ódzkie
Annopol Ma³y;tomaszowski;³ódzkie
Annopole;œredzki;wielkopolskie
Annopole Nowe;zduñskowolski;³ódzkie
Annopole Stare;zduñskowolski;³ódzkie
Annos³aw;rawski;³ódzkie
Annowo;grudzi¹dzki;kujawsko-pomorskie
Annów;tomaszowski;³ódzkie
Annówka;kaliski;wielkopolskie
Anonin;³ukowski;lubelskie
Anteczków;gostyñski;wielkopolskie
Antolin;tomaszowski;³ódzkie
Antolka;miechowski;ma³opolskie
Antomieszki;go³dapski;warmiñsko-mazurskie
Antonia;szczycieñski;warmiñsko-mazurskie
Antonie;ostro³êcki;mazowieckie
Antonielów;kielecki;œwiêtokrzyskie
Antoniew;¿yrardowski;mazowieckie
Antoniew (wilkêsy);kutnowski;³ódzkie
Antoniew-lubocha;poddêbicki;³ódzkie
Antoniewice;gryfiñski;zachodniopomorskie
Antoniewko;choszczeñski;zachodniopomorskie
Antoniewo;w¹growiecki;wielkopolskie
Antoniewo Górne;w¹growiecki;wielkopolskie
Antoniki;lubaczowski;podkarpackie
Antonin;wysokomazowiecki;podlaskie
Antonin (kornelin);kaliski;wielkopolskie
Antonin (pami¹tków);kaliski;wielkopolskie
Antonina;miñski;mazowieckie
Antoninek;poznañski;wielkopolskie
Antoninów;piaseczyñski;mazowieckie
Antoniny;szamotulski;wielkopolskie
Antoniów;jeleniogórski;dolnoœl¹skie
Antoniów (brzeŸnik);stalowowolski;podkarpackie
Antoniów (siajówka);stalowowolski;podkarpackie
Antoniów (wola Antoniowska);stalowowolski;podkarpackie
Antoniów (za Gór¹);stalowowolski;podkarpackie
Antoniów-kolonia;³êczyñski;lubelskie
Antoniówka;tomaszowski;lubelskie
Antoniówka œwier¿owska;garwoliñski;mazowieckie
Antoniówka Wilczkowska;garwoliñski;mazowieckie
Antonowo;gi¿ycki;warmiñsko-mazurskie
Antonów;k³obucki;œl¹skie
Antonówka;opolski;lubelskie
Antopol;parczewski;lubelskie
Antopol (bugaj Zakrzewski);radomszczañski;³ódzkie
Antosin;sochaczewski;mazowieckie
Anusin;siemiatycki;podlaskie
Aplinki;tczewski;pomorskie
Apolinów;be³chatowski;³ódzkie
Apolonia;³aski;³ódzkie
Apolonka;piotrkowski;³ódzkie
Aptynty;kêtrzyñski;warmiñsko-mazurskie
Arbasy Du¿e;siemiatycki;podlaskie
Arbasy Du¿e (arbasy Ma³e);siemiatycki;podlaskie
Arcelin;p³oñski;mazowieckie
Archutowo;p³ocki;mazowieckie
Archutówko;p³ocki;mazowieckie
Arciechów;wo³omiñski;mazowieckie
Arciechów (d¹browa);wo³omiñski;mazowieckie
Arciechów (myszyniec);wo³omiñski;mazowieckie
Arciechówek;sochaczewski;mazowieckie
Arciszewo;w³oc³awski;kujawsko-pomorskie
Arcugowo;gnieŸnieñski;wielkopolskie
Ardapy;bartoszycki;warmiñsko-mazurskie
Arentowo;pilski;wielkopolskie
Ariany;aleksandrowski;kujawsko-pomorskie
Arkadia;³owicki;³ódzkie
Arklity;kêtrzyñski;warmiñsko-mazurskie
Arkuszewo;kolski;wielkopolskie
Ar³amów;bieszczadzki;podkarpackie
Arturowo;inowroc³awski;kujawsko-pomorskie
Arynów;miñski;mazowieckie
Asmus;chojnicki;pomorskie
Astachowice;zgierski;³ódzkie
Asuny;kêtrzyñski;warmiñsko-mazurskie
Atalin;zwoleñski;mazowieckie
Atanazyn;chodzieski;wielkopolskie
Ateny;augustowski;podlaskie
Audyniszki;go³dapski;warmiñsko-mazurskie
Augamy;bartoszycki;warmiñsko-mazurskie
Augustopol;kutnowski;³ódzkie
Augustowo;¿niñski;kujawsko-pomorskie
Augustowo (budy Strzegowskie);m³awski;mazowieckie
Augustowo (na Brañskiej);bielski;podlaskie
Augustów;przasnyski;mazowieckie
Augustów (sajenek);augustowski;podlaskie
Augustówek;nowodworski;mazowieckie
Augustówka;parczewski;lubelskie
Augustynka;siemiatycki;podlaskie
Augustynowo;w³oc³awski;kujawsko-pomorskie
Augustynów;be³chatowski;³ódzkie
Augustynów (bór);kolski;wielkopolskie
Augustyny;lidzbarski;warmiñsko-mazurskie
Auguœcin;pilski;wielkopolskie
Aulakowszczyzna;sokólski;podlaskie
Aurelin;hrubieszowski;lubelskie
Awajki;elbl¹ski;warmiñsko-mazurskie
Baba;ostro³êcki;mazowieckie
Babalice;nowomiejski;warmiñsko-mazurskie
Babañce;sejneñski;podlaskie
Babczów;radomszczañski;³ódzkie
Babczyzna;lubartowski;lubelskie
Babi Dó³;kartuski;pomorskie
Babi Dwór;z³otowski;wielkopolskie
Babia;koniñski;wielkopolskie
Babia (gr¹dy);koniñski;wielkopolskie
Babiak;kolski;wielkopolskie
Babianka;parczewski;lubelskie
Babica;strzy¿owski;podkarpackie
Babice;chrzanowski;ma³opolskie
Babice (pó³anki);przemyski;podkarpackie
Babice (przedmieœcie Babickie);przemyski;podkarpackie
Babice Nowe;warszawski zachodni;mazowieckie
Babice-kolonia;garwoliñski;mazowieckie
Babicha;mielecki;podkarpackie
Babichy;³ódzki wschodni;³ódzkie
Babiczki;pabianicki;³ódzkie
Babidó³;gdañski;pomorskie
Babidó³ (nowiny);gdañski;pomorskie
Babie ³awy;lipnowski;kujawsko-pomorskie
Babiec Piaseczny;sierpecki;mazowieckie
Babiec R¿a³y;sierpecki;mazowieckie
Babiec-wiêczanki;sierpecki;mazowieckie
Babienica;lubliniecki;œl¹skie
Babienica (mzyki);lubliniecki;œl¹skie
Babieniec;kêtrzyñski;warmiñsko-mazurskie
Babiêta;mr¹gowski;warmiñsko-mazurskie
Babiêty Wielkie;i³awski;warmiñsko-mazurskie
Babigoszcz;goleniowski;zachodniopomorskie
Babilon;lipski;mazowieckie
Babimost;zielonogórski;lubuskie
Babin;œredzki;wielkopolskie
Babin (bzieniec);lubelski;lubelskie
Babin-olêdry;s³upecki;wielkopolskie
Babinek;pyrzycki;zachodniopomorskie
Babiniec;zduñskowolski;³ódzkie
Babino;bia³ostocki;podlaskie
Babki;go³dapski;warmiñsko-mazurskie
Babki G¹seckie;olecki;warmiñsko-mazurskie
Babki Oleckie;olecki;warmiñsko-mazurskie
Babkowice;gostyñski;wielkopolskie
Baborowo;szamotulski;wielkopolskie
Baborów;g³ubczycki;opolskie
Baborówko;szamotulski;wielkopolskie
Baboszewo;p³oñski;mazowieckie
Babsk;w³odawski;lubelskie
Babskie Budy;¿yrardowski;mazowieckie
Babule;mielecki;podkarpackie
Baby;czêstochowski;œl¹skie
Baby Dolne;gostyniñski;mazowieckie
Baby Górne;gostyniñski;mazowieckie
Bachanowo;suwalski;podlaskie
Bachlawa;leski;podkarpackie
Bachmackie Kolonie;sokólski;podlaskie
Bachmatówka;sokólski;podlaskie
Bachor;brodnicki;kujawsko-pomorskie
Bachorce;inowroc³awski;kujawsko-pomorskie
Bachorza;aleksandrowski;kujawsko-pomorskie
Bachorza (bachorza-kolonia);soko³owski;mazowieckie
Bachorze;chojnicki;pomorskie
Bachorzew;jarociñski;wielkopolskie
